index;primary_length;k0;axfold;radfold;delta;length;surface;Jv;i3;i4;i6;i8;seed
121;0.12;50;0.25;0.25;0.0019;1.7098;0.001335472;0.004775396;21;30;22;12;4907345
122;0.12;50;0.25;0.5;0.0019;1.9097;0.001483855;0.010261437;31;32;20;14;59917676
123;0.12;50;0.25;1;0.0019;1.3469;0.001089424;0.014137391;18;21;22;7;79044992
124;0.12;50;0.25;2;0.0019;1.5786;0.001231666;0.029587671;24;23;14;7;69660140
125;0.12;50;0.25;4;0.0019;2.0862;0.001593023;0.058579311;29;36;25;12;88924527
126;0.12;50;0.25;8;0.0019;2.1519;0.00164447;0.079701038;33;33;31;17;53412921
127;0.12;50;0.5;0.25;0.0019;1.5322;0.001246403;0.004561137;23;23;20;9;17248106
128;0.12;50;0.5;0.5;0.0019;2.4454;0.001745014;0.012430613;38;38;32;17;6754257
129;0.12;50;0.5;1;0.0019;1.8403;0.001394729;0.019242162;27;37;19;11;60370784
130;0.12;50;0.5;2;0.0019;1.1638;0.00091774;0.02468058;21;20;9;6;18404769
131;0.12;50;0.5;4;0.0019;1.7214;0.001300961;0.060370367;32;31;22;9;16998627
132;0.12;50;0.5;8;0.0019;1.2484;0.001020433;0.080157721;21;23;14;8;3191964
133;0.12;50;1;0.25;0.0019;1.8494;0.001453235;0.005367554;34;29;28;11;93089864
134;0.12;50;1;0.5;0.0019;1.7089;0.001287739;0.009437869;25;28;22;10;44528248
135;0.12;50;1;1;0.0019;1.4006;0.001144385;0.016553979;19;24;10;10;4323063
136;0.12;50;1;2;0.0019;2.3771;0.001767033;0.047726519;32;36;36;18;89170275
137;0.12;50;1;4;0.0019;1.3194;0.001113278;0.057584798;24;18;18;7;65010068
138;0.12;50;1;8;0.0019;2.1534;0.001613863;0.146235413;41;35;22;12;79939332
139;0.12;50;2;0.25;0.0019;1.3998;0.001124063;0.00417892;24;20;10;10;96058785
140;0.12;50;2;0.5;0.0019;1.7993;0.001423927;0.0105057;33;31;27;12;30228032
141;0.12;50;2;1;0.0019;1.8809;0.001477382;0.021624866;27;33;21;9;46615308
142;0.12;50;2;2;0.0019;2.1979;0.00166633;0.047915604;39;37;29;11;47032876
143;0.12;50;2;4;0.0019;1.3248;0.001089894;0.061274132;31;17;16;8;99312431
144;0.12;50;2;8;0.0019;1.742;0.001361362;0.144807672;30;29;21;7;82435100
145;0.12;50;3;0.25;0.0019;1.4583;0.001154097;0.004296028;22;27;17;10;85070329
146;0.12;50;3;0.5;0.0019;1.3589;0.001064618;0.007888921;17;24;21;12;67436934
