,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
4453,92437872,0.14,0.015830560254,327.6558,0.0004972872941449999,1.7626,1.0,1.0,0.002,0.01,-0.00163853573854,9,19,27,28,16,9
4454,18308442,0.14,0.01365857322,327.6558,0.000520629842782,1.8945,1.0,1.0,0.002,0.015,-0.00144099182925,6,14,20,27,22,14
4455,59095631,0.14,0.014319707613299999,327.6558,0.000594607846678,2.2023,1.0,1.0,0.002,0.02,-0.000898207445344,6,19,31,32,29,20
4456,52648745,0.14,0.00985491887785,327.6558,0.00037800409356600004,1.3035,1.0,1.0,0.002,0.025,-0.00442730019577,4,8,13,18,17,11
4457,27366075,0.14,0.011421360409299999,327.6558,0.00034091118344099997,1.1265,1.0,1.0,0.002,0.03,-0.00415961912773,6,14,19,15,12,8
4458,53646747,0.14,0.011887804546700001,327.6558,0.000429105365333,1.4726,1.0,1.0,0.002,0.035,-0.00172529504002,5,14,24,26,17,12
4508,58065770,0.1,0.011956070601099999,327.6558,0.00034596870779099996,1.2336,1.0,1.0,0.002,0.005,-0.00136996506823,8,16,21,22,15,4
4509,24732172,0.1,0.009396738044129998,327.6558,0.000239720672565,0.7895,1.0,1.0,0.002,0.01,-0.0036772665124600004,6,15,16,13,6,2
4510,63471504,0.1,0.006417170873939999,327.6558,0.00015074448543,0.4471,1.0,1.0,0.002,0.015,-0.006847692732439999,3,8,10,6,4,1
4511,39877449,0.1,0.010826107375399999,327.6558,0.000274153533358,0.9176,1.0,1.0,0.002,0.02,-0.00283290279548,8,14,17,15,11,3
4512,90124021,0.1,0.011500636765299999,327.6558,0.00038424570931900004,1.3986,1.0,1.0,0.002,0.025,-0.00042021272891300005,7,13,21,21,14,9
4513,51832019,0.1,0.0104439948109,327.6558,0.000330925882519,1.1206,1.0,1.0,0.002,0.03,-0.00035945027127300003,4,14,23,13,13,5
4514,38450231,0.1,0.008105974337000001,327.6558,0.000183105340204,0.5778,1.0,1.0,0.002,0.035,-0.00649369356079,5,9,10,8,5,2
4564,19420919,0.11,0.0124100226562,327.6558,0.000468948488498,1.7097,1.0,1.0,0.002,0.005,0.00143309503674,4,15,31,31,24,7
4565,6606028,0.11,0.0145021906352,327.6558,0.000418647694539,1.4949,1.0,1.0,0.002,0.01,-0.000959968422967,7,18,27,21,18,11
4566,81705992,0.11,0.00865884958021,327.6558,0.00024377100230900004,0.7693,1.0,1.0,0.002,0.015,-0.0030912775081,5,11,15,13,11,5
4567,27353676,0.11,0.014774352624299998,327.6558,0.00045483298598,1.6777,1.0,1.0,0.002,0.02,0.0005092501274549999,8,19,27,24,17,13
4568,60126973,0.11,0.011074687280999999,327.6558,0.00031368350256700004,1.0358,1.0,1.0,0.002,0.025,-0.0019772317513099998,10,13,15,19,15,5
