seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
5241311,0.17,0.013229095787,327.66,0.000821398339633,3.0139,1,1,0.00175,0.03,0.000311807677365,7,20,29,40,39,27
93454104,0.17,0.0180881907394,327.66,0.00100693893565,3.8672,1,1,0.00175,0.035,0.000307017191886,11,31,49,49,48,29
26850510,0.17,0.0147971222488,327.66,0.000542091620429,1.9088,1,1,0.002,0.005,-0.00334287458547,10,21,24,25,21,15
65084380,0.17,0.0149830432808,327.66,0.000648378140165,2.3855,1,1,0.002,0.01,-0.00197682651114,7,23,31,37,24,17
52158078,0.17,0.00933276111329,327.66,0.000392679666656,1.2601,1,1,0.002,0.015,-0.00390183028228,5,11,16,17,14,10
26870612,0.17,0.0154182347398,327.66,0.000676205211785,2.4239,1,1,0.002,0.02,-0.0000651928499758,8,28,39,37,27,15
71021680,0.17,0.0100470712829,327.66,0.000496067533098,1.7055,1,1,0.002,0.025,-0.00296936985095,5,10,18,25,23,13
60425643,0.17,0.014649221926,327.66,0.000512909278305,1.7815,1,1,0.002,0.03,-0.00336953195568,8,18,23,28,20,12
52670613,0.17,0.0102553151674,327.66,0.000481745137854,1.6408,1,1,0.002,0.035,-0.00266410091437,6,11,18,22,21,13
20899603,0.17,0.0146958100991,327.66,0.000516550528704,1.805,1,1,0.00225,0.005,-0.00190651096387,11,18,27,30,20,9
79630992,0.17,0.0117661448265,327.66,0.000445979173635,1.4769,1,1,0.00225,0.01,-0.00214470909203,7,14,22,22,16,11
