seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
75024537,0.07,32.76558,1.5,0.4952,0.00015964606255,0.00740426367473
75024537,0.07,32.76558,1.75,0.4952,0.00015964606255,0.00794330143602
75024537,0.07,32.76558,2.0,0.4952,0.00015964606255,0.00841454934339
42360325,0.08,32.76558,0.05,1.2271,0.000330609869714,0.00117935734347
42360325,0.08,32.76558,0.25,1.2271,0.000330609869714,0.00413969440078
42360325,0.08,32.76558,0.5,1.2271,0.000330609869714,0.00683263924422
42360325,0.08,32.76558,0.75,1.2271,0.000330609869714,0.00895651119263
42360325,0.08,32.76558,1.0,1.2271,0.000330609869714,0.010711698885
42360325,0.08,32.76558,1.25,1.2271,0.000330609869714,0.0122006405672
42360325,0.08,32.76558,1.5,1.2271,0.000330609869714,0.0134861577498
42360325,0.08,32.76558,1.75,1.2271,0.000330609869714,0.0146106430594
42360325,0.08,32.76558,2.0,1.2271,0.000330609869714,0.0156044574262
83745811,0.08,32.76558,0.05,0.6758,0.000201586701467,0.000900621037507
83745811,0.08,32.76558,0.25,0.6758,0.000201586701467,0.00267633844012
83745811,0.08,32.76558,0.5,0.6758,0.000201586701467,0.00418412310234
83745811,0.08,32.76558,0.75,0.6758,0.000201586701467,0.0053607521791
83745811,0.08,32.76558,1.0,0.6758,0.000201586701467,0.00633710476828
83745811,0.08,32.76558,1.25,0.6758,0.000201586701467,0.00717228636116
83745811,0.08,32.76558,1.5,0.6758,0.000201586701467,0.00790023259428
83745811,0.08,32.76558,1.75,0.6758,0.000201586701467,0.00854306945914
83745811,0.08,32.76558,2.0,0.6758,0.000201586701467,0.00911639003943
63415008,0.08,32.76558,0.05,0.8045,0.000230514737948,0.0011269222182
63415008,0.08,32.76558,0.25,0.8045,0.000230514737948,0.00340649064691
63415008,0.08,32.76558,0.5,0.8045,0.000230514737948,0.00532010926073
63415008,0.08,32.76558,0.75,0.8045,0.000230514737948,0.00679623314986
63415008,0.08,32.76558,1.0,0.8045,0.000230514737948,0.0080045234541
63415008,0.08,32.76558,1.25,0.8045,0.000230514737948,0.00902367963935
63415008,0.08,32.76558,1.5,0.8045,0.000230514737948,0.00990006712664
63415008,0.08,32.76558,1.75,0.8045,0.000230514737948,0.0106643351696
63415008,0.08,32.76558,2.0,0.8045,0.000230514737948,0.0113381559432
26602451,0.08,32.76558,0.05,0.6948,0.000205718398461,0.000948072307945
26602451,0.08,32.76558,0.25,0.6948,0.000205718398461,0.00272526979315
26602451,0.08,32.76558,0.5,0.6948,0.000205718398461,0.00422086331422
26602451,0.08,32.76558,0.75,0.6948,0.000205718398461,0.00540192993268
26602451,0.08,32.76558,1.0,0.6948,0.000205718398461,0.00639178969567
26602451,0.08,32.76558,1.25,0.6948,0.000205718398461,0.00724433301657
26602451,0.08,32.76558,1.5,0.6948,0.000205718398461,0.00799079536776
26602451,0.08,32.76558,1.75,0.6948,0.000205718398461,0.008651963236
26602451,0.08,32.76558,2.0,0.6948,0.000205718398461,0.00924279108151
31843049,0.08,32.76558,0.05,0.7142,0.000207460977074,0.00125306456587
31843049,0.08,32.76558,0.25,0.7142,0.000207460977074,0.00402818162707
31843049,0.08,32.76558,0.5,0.7142,0.000207460977074,0.00620844206197
31843049,0.08,32.76558,0.75,0.7142,0.000207460977074,0.00777955026246
31843049,0.08,32.76558,1.0,0.7142,0.000207460977074,0.00900022680904
31843049,0.08,32.76558,1.25,0.7142,0.000207460977074,0.0099878767864
31843049,0.08,32.76558,1.5,0.7142,0.000207460977074,0.0108084997352
31843049,0.08,32.76558,1.75,0.7142,0.000207460977074,0.0115036370046
31843049,0.08,32.76558,2.0,0.7142,0.000207460977074,0.0121013464415
12056243,0.08,32.76558,0.05,0.4756,0.000153859751537,0.00107827727691
12056243,0.08,32.76558,0.25,0.4756,0.000153859751537,0.0032100925478
12056243,0.08,32.76558,0.5,0.4756,0.000153859751537,0.00483025284477
12056243,0.08,32.76558,0.75,0.4756,0.000153859751537,0.0059768376223
12056243,0.08,32.76558,1.0,0.4756,0.000153859751537,0.00685925830805
12056243,0.08,32.76558,1.25,0.4756,0.000153859751537,0.00756983768868
12056243,0.08,32.76558,1.5,0.4756,0.000153859751537,0.00815897586901
12056243,0.08,32.76558,1.75,0.4756,0.000153859751537,0.00865767202947
12056243,0.08,32.76558,2.0,0.4756,0.000153859751537,0.00908651761925
4313698,0.08,32.76558,0.05,1.0355,0.000286890234843,0.00123984371939
4313698,0.08,32.76558,0.25,1.0355,0.000286890234843,0.00416621352288
4313698,0.08,32.76558,0.5,1.0355,0.000286890234843,0.00674195737905
4313698,0.08,32.76558,0.75,1.0355,0.000286890234843,0.00873167506413
4313698,0.08,32.76558,1.0,1.0355,0.000286890234843,0.0103488082777
4313698,0.08,32.76558,1.25,1.0355,0.000286890234843,0.0117008632088
4313698,0.08,32.76558,1.5,1.0355,0.000286890234843,0.012853214154
4313698,0.08,32.76558,1.75,1.0355,0.000286890234843,0.0138495995098
4313698,0.08,32.76558,2.0,1.0355,0.000286890234843,0.0147210437388
41718271,0.09,32.76558,0.05,0.7989,0.000231933079067,0.00142542276133
41718271,0.09,32.76558,0.25,0.7989,0.000231933079067,0.00450297571123
41718271,0.09,32.76558,0.5,0.7989,0.000231933079067,0.00686111078497
41718271,0.09,32.76558,0.75,0.7989,0.000231933079067,0.00853920617251
41718271,0.09,32.76558,1.0,0.7989,0.000231933079067,0.00984074390145
41718271,0.09,32.76558,1.25,0.7989,0.000231933079067,0.0108969564131
