,ax,1 mm,20 mm,40 mm,65 mm,100 mm,120 mm,125 mm,130 mm,135 mm,140 mm,145 mm,150 mm,155 mm,base
1893,0.75,0.478387468934,0.488776337074,0.503887885734,0.544635690736,0.618781336283,0.677880702045,0.696639752358,0.711977497568,0.728859326059,0.745179357429,0.771131378138,0.785911150381,0.817564820777,0.820324588238
1894,0.5,0.144704903681,0.15425662664,0.168654472885,0.210061615998,0.297616025575,0.376574924154,0.404895265923,0.427351051165,0.45324509464,0.480156412441,0.523484400607,0.550416651612,0.606567974397,0.61244125558
1895,0.25,0.0115195082862,0.0138918795888,0.0178586660486,0.0315265159152,0.0738058997321,0.124382497654,0.147294909828,0.165003560014,0.187371061256,0.213821875497,0.257086837679,0.288839176194,0.352529729035,0.361918725398
1896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1897,0.75,0.482020494899,0.492488259394,0.507776835129,0.552548643366,0.637847850868,0.68639035012,0.703286344887,0.713852321788,0.737729219089,0.753775182994,0.764016159136,0.783034909982,0.817558893133,0.830826626856
1898,0.5,0.145517485267,0.155122845345,0.169662051944,0.215412312221,0.318159189799,0.386978938922,0.411004817967,0.427839208492,0.465398856489,0.492202231785,0.51100943742,0.544941460342,0.606524725398,0.630443454877
1899,0.25,0.0110277766744,0.0132988789006,0.017113159691,0.0317720690428,0.0816516221791,0.129777821008,0.147532106403,0.162349793928,0.195205199457,0.221260562477,0.243459744877,0.281706117866,0.352393887973,0.380497129849
1900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1901,0.75,0.501348053793,0.512235543875,0.529082232492,0.569860272019,0.653067344354,0.705249890993,0.716892237831,0.730171516198,0.745758591984,0.762422274588,0.777772884811,0.792925047406,0.819127355638,0.82264912931
1902,0.5,0.161004846006,0.171632500252,0.188686533824,0.232949247854,0.33832889762,0.413703836749,0.432487312098,0.454270269046,0.478045967141,0.506171251443,0.532872992164,0.561783979487,0.609625833367,0.617120388511
1903,0.25,0.0137527826924,0.016585083011,0.0216374268087,0.0375703476271,0.0938215443522,0.148316081363,0.165426891082,0.185933502888,0.206486041819,0.234546801447,0.263600786044,0.300015499603,0.356757340719,0.368713605407
1904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1905,0.75,0.524503605771,0.535893951784,0.552044368994,0.600401597995,0.679704241593,0.743742032831,0.747783680563,0.7680648978,0.781967767097,0.790072509066,0.801289735926,0.813641077479,0.829308860215,0.840406991399
1906,0.5,0.180182497406,0.192076035589,0.209547647437,0.265385529211,0.372597321272,0.471713464267,0.478805399702,0.513711316298,0.536418720731,0.552156089156,0.574053337944,0.598820471399,0.630265603254,0.653446341908
1907,0.25,0.0174917985281,0.0210941259737,0.0269603652778,0.0494393545723,0.113520764894,0.193770245915,0.201319151959,0.236520410823,0.259151362082,0.279412480778,0.307820376108,0.342012126183,0.385540156735,0.420749121509
1908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1909,0.75,0.538100457467,0.549786078562,0.566355167493,0.604748645023,0.682816469172,0.730617821305,0.74396478344,0.759484181081,0.77393544182,0.786727799065,0.799462442484,0.816504267499,0.828788252882,0.845672295093
1910,0.5,0.19192691648,0.20459568366,0.223206107181,0.269067605454,0.375596332793,0.449705744957,0.472288338542,0.497900880627,0.523564805499,0.545452432565,0.567873590301,0.599873759738,0.624389142176,0.657244857955
1911,0.25,0.0199294180825,0.0240337581604,0.0307175040013,0.0502943309962,0.11447882848,0.174607952404,0.196805168623,0.22068671302,0.248563957255,0.271052736554,0.29623270219,0.336119201258,0.369362066926,0.41295150788
1912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1913,0.75,0.557163280829,0.5692628784,0.586418946233,0.626879112393,0.709855308637,0.759926707698,0.77086284849,0.779553077852,0.785025646024,0.797944883129,0.812995491647,0.832735735657,0.860754463526,0.863331350916
1914,0.5,0.209030796385,0.222828561396,0.243097483135,0.293750858862,0.412209930562,0.493256401324,0.512032585147,0.528174000736,0.538664022365,0.563183749319,0.592517347567,0.63141070499,0.684636891285,0.690402010488
1915,0.25,0.0237594235901,0.0286525295535,0.0366207475891,0.0600572515322,0.136979850757,0.207350539395,0.225784385707,0.244495673442,0.257542650053,0.287140558048,0.324764840544,0.37588761669,0.442556144234,0.45249794061
1916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1917,0.75,0.53174046601,0.543287970794,0.560276685791,0.600742721923,0.678681754527,0.731706150075,0.740770317554,0.758910525228,0.76935621149,0.780765120045,0.800098901756,0.813586115021,0.827003040503,0.829889573085
1918,0.5,0.18685042278,0.199184099302,0.217994476352,0.265837560087,0.370652482131,0.453127395762,0.468424353185,0.498646623833,0.515393320349,0.536752758619,0.570592928433,0.596087688581,0.621445741599,0.627721864251
1919,0.25,0.0190798663425,0.0230092465073,0.0296638418286,0.049993690612,0.112169578746,0.179915996047,0.194953807065,0.223894392365,0.239773012693,0.265624214429,0.302439868974,0.334892828904,0.367368422935,0.37770840501
1920,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1921,0.75,0.54577977181,0.5576321602,0.574437709146,0.626607741813,0.701129150435,0.746008084487,0.761342179015,0.772390719558,0.78438251491,0.796991308998,0.820393538732,0.841684139191,0.848984589786,0.863266813603
1922,0.5,0.197992508349,0.211061654864,0.230260235772,0.293624940289,0.399703038691,0.47236679769,0.497523682877,0.517107641052,0.538505600284,0.561844646079,0.604481488991,0.645909459851,0.661559021851,0.691483402808
1923,0.25,0.0210693348364,0.0254084337014,0.0324744743906,0.0601448306571,0.128738894087,0.192143500468,0.214769348246,0.235574455833,0.258642993908,0.285869967802,0.334115369237,0.387415364199,0.412072012863,0.456645923252
1924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925,0.75,0.548233531497,0.560139206788,0.577020311445,0.619146607527,0.703437789427,0.753952008166,0.761820337273,0.775925514621,0.790816530926,0.796044168516,0.80756148126,0.831543987486,0.853529166885,0.856822722655
1926,0.5,0.201699942453,0.215013810347,0.234571887046,0.286617628204,0.405928314761,0.486172598234,0.500209848931,0.523488917191,0.550300647431,0.560603864054,0.583557455015,0.630505680541,0.675064395158,0.682281491568
1927,0.25,0.0223936683915,0.0270055055404,0.034515689097,0.0584394163348,0.136454111913,0.205046364659,0.220157535826,0.242193799046,0.271382924556,0.285029984848,0.316034431284,0.376887171244,0.439448115864,0.45157532719
1928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1929,0.75,0.535531616681,0.547161451724,0.564078099023,0.602681661159,0.685761955611,0.719333241903,0.746683446929,0.755633261419,0.768456215839,0.78508918493,0.796328857242,0.810460234231,0.828245804165,0.831140253237
1930,0.5,0.190965269937,0.203570560475,0.222571219919,0.268836851015,0.381634065608,0.434787417479,0.478800355389,0.492277260306,0.514410103196,0.543733648608,0.565317636769,0.590855902227,0.62564799212,0.631905749909
1931,0.25,0.0202797980813,0.0244562967473,0.0314397222927,0.0518340087638,0.120776748506,0.166445503105,0.205411866981,0.216998718817,0.239786776831,0.271775067971,0.299060752141,0.328969701806,0.375548917637,0.385802446752
1932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1933,0.75,0.528294872091,0.539767550874,0.556034708049,0.595783844019,0.671943448833,0.731091273464,0.745782198838,0.749867028498,0.772170822973,0.790136431533,0.795194259495,0.801304063287,0.824331452162,0.831799386024
1934,0.5,0.18383838468,0.195973241723,0.213799351063,0.260320261503,0.361476516474,0.451161164019,0.475933272772,0.483254261943,0.521637184625,0.552430044878,0.562481694958,0.574860375578,0.617693789279,0.633504531478
1935,0.25,0.0184482131858,0.0222475082997,0.0284345011985,0.0478564268272,0.10655112131,0.176913598189,0.200970546458,0.209155890393,0.248117567193,0.280673187701,0.294429204353,0.312106338739,0.363979040628,0.388557775436
1936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1937,0.75,0.534992148695,0.546610268419,0.563617495822,0.61275829318,0.701411604043,0.74117334893,0.754003523957,0.773002415725,0.791829561766,0.797531563017,0.803494723646,0.823562659005,0.837144537188,0.844813797648
